entity_id,company_name,ticker,current_quarter,tone_category,sentiment_score,key_nlp_signals,investor_insights,summary,qq_delta,qq_change,qq_explanation,qq_prior_score,yoy_delta,yoy_change,yoy_explanation,yoy_prior_score
03CF95,PayPal Holdings Inc.,PYPL,Q1 2026,Bullish,0.23,"Strong positive/constructive financial and performance language (e.g., 'accelerate the growth', 'improving profitability and cash flow', 'solid quarter', 'robust free cash flow', 'confident', 'durable path', 'value creation'); Forward-looking strategy is expressed with high intent and directionality ('we will', 'we expect', 'we are reiterating', 'plan to', 'intends to'), including concrete targets like 'at least $1.5 billion of gross run rate savings' and full-year guidance ranges; Moderation/uncertainty is present but mostly framed as manageable and anticipated ('macro and geopolitical environment remain complex', 'we expect... pressure', 'it will take time', 'we have conviction... but it will take time', 'trends at the low end', 'risk' language is limited and generally hedged with confidence in guidance)","Management’s guidance tone is primarily maintenance with near-term pressure: Q2 is guided to show YoY EPS and transaction margin dollar declines, while full-year 2026 guidance is reiterated with confidence; this suggests a 'near-term headwind, longer-term payoff' narrative.; Cost-savings and transformation messaging is both confident and specific (AI-driven process redesign, structural realignment, and a quantified savings program), which increases credibility versus purely qualitative turnaround language; however, reinvestment and timing are explicitly acknowledged as sources of near-term expense pressure.","Management tone is bullish: leaders use confident, action-oriented language about accelerating growth, improving profitability/cash flow, and executing a disciplined transformation. While they acknowledge complexity and near-term headwinds (notably Q2 YoY pressure and the time required to scale initiatives), they repeatedly reinforce conviction in full-year guidance and provide concrete savings and execution frameworks.",0.15,Notably More Bullish,"Q1 2026 sentiment is meaningfully more positive than Q4 2025, with management leaning into confident, action-oriented transformation and quantified savings/guidance reinforcement. Q4 2025 was more neutral/cautious due to explicit branded checkout underperformance and more hedged timing.",0.08,-0.19,Significantly More Bearish,"Sentiment weakened meaningfully versus Q1 2025 (0.42 to 0.23), indicating a less upbeat tone despite still-bullish framing. The current quarter leans more toward near-term pressure and time-to-execute caveats, reducing overall bullishness.",0.42
04C4BE,QuantumScape Corp.,QS,Q1 2026,Bullish,0.28,"Frequent positive/constructive financial-technology terms (e.g., 'substantive progress', 'virtuous cycle', 'enhanced quality', 'force multiplier', 'commitment', 'milestone', 'shareholder value creation') outweigh negative cost-loss framing.; Forward-looking language is strong and specific: repeated plans and expectations ('we plan to ramp', 'we expect to see', 'we look forward to updating', 'we will be shipping samples', 'we are moving into the next phase'), with guidance reiterated rather than changed.; Hedging/uncertainty is present but mostly confined to safe-harbor and operational variability ('may not materialize', 'risks and uncertainties', 'may vary from quarter to quarter', 'early days', 'we are carefully gauging'); confidence indicators are generally definitive in execution and milestones ('completed installation', 'commenced startup', 'successfully completed', 'recorded our first').","Management’s guidance tone is maintenance: adjusted EBITDA loss and CapEx guidance are reiterated, while operational momentum (Eagle Line ramp, first ecosystem billings) is emphasized—suggesting confidence in near-term execution without changing financial targets.; The call frames new markets (AI data centers, defense/aerospace) as additive to automotive rather than substitutive, implying resource allocation is planned and already incorporated into the operating plan; investors should monitor whether billings growth and sample-to-JDA/JDA-to-licensing conversion accelerates accordingly.","Overall management tone is Bullish, driven by confident execution updates (installation/startup, first ecosystem billings, successful evaluations) and strong forward-looking plans (ramping QSE-5 in Q2, moving into next phases, shipping samples). Hedging language is present mainly in safe-harbor and variability disclaimers, while guidance is reiterated rather than raised or lowered, indicating measured confidence in financial outlook alongside optimistic commercialization momentum.",0.0,Same (Bullish),"Sentiment score is unchanged at 0.28 from Q4 2025 to Q1 2026. Both calls maintain a similarly bullish, execution-focused tone with hedging largely limited to standard safe-harbor and variability language.",0.28,-0.04,Same (Bullish),"Sentiment remains bullish but is slightly lower Y/Y, with the current quarter showing more cautious/variability hedging around execution while still reiterating guidance and emphasizing commercialization progress.",0.32
055018,Capital One Financial Corp.,COF,Q1 2026,Bullish,0.23,"Frequent positive financial/strategic terms and outcomes (e.g., 'solid top-line growth', 'strong credit performance', 'strong deposit growth', 'good opportunities', 'bullish', 'momentum', 'engine that powers long-term growth and returns'); Forward-looking language is confident but bounded by integration timing and seasonality (e.g., 'we expect', 'we remain on track', 'we still expect', 'we continue to invest', 'will be reflected', 'we do expect that cash position will trend down'); Hedging/uncertainty is present but generally framed as manageable (e.g., 'heightened geopolitical uncertainty', 'cloud on the horizon', 'if energy prices remain elevated', 'modest increase', 'lumpiness in the system', 'not an easy journey, and it's a long journey'); guidance tone is largely maintaining/consistent rather than raising or lowering","Management repeatedly reinforces that post-Discover earnings power remains consistent with deal-model expectations despite moving variables (Brex/Hopper added), which suggests they are defending prior outlook rather than changing it—investors should focus on whether actual efficiency and synergy delivery tracks the stated back-loaded integration path.; Risk framing is mostly conditional (energy/geopolitics, macro headwinds) and paired with actions ('judgmentally incorporated elevated macroeconomic risk into our allowance'); investors should monitor allowance/coverage trajectory and credit metrics for any deviation from the 'resilient/strong' narrative.","Overall tone is bullish: management emphasizes solid results, strong credit performance, and momentum from Discover with repeated confidence in achieving expected synergies and maintaining earnings power. Uncertainty language appears mainly as conditional macro risk (energy/geopolitics) and integration timing/seasonality, but it is paired with mitigation steps and 'on track' statements, indicating a maintaining/defending guidance posture rather than a downgrade.",-0.05,Slightly More Bearish,"Sentiment softened modestly from Q4 2025 to Q1 2026, with slightly less conviction/enthusiasm in the tone. The current quarter remains bullish overall, but more emphasis on conditional macro/integration timing reduces the net positivity.",0.28,0.0,Same (Bullish),"Sentiment score is unchanged at 0.23 versus Q1 2025, indicating management tone remains equally bullish year over year. Both quarters emphasize strong credit/performance momentum and maintain guidance confidence with only conditional macro/integration uncertainty.",0.23
061366,First Solar Inc.,FSLR,Q1 2026,Bullish,0.42,"Strong positive financial/operational word choice: 'strong start', 'record first quarter revenue', 'record sales', 'meaningful margin expansion', 'above the top end', 'strong strategic partnerships', 'well-positioned', 'momentum', 'encouraging'.; Forward-looking language is confident and specific: 'CuRe launch is complete', 'first Series 6 line is ramping, consistent with expectations', 'scheduled to be replicated... through the first half of 2028', 'supports the potential realization of up to $0.6 billion of additional revenue'.; Hedging/uncertainty is present but mostly bounded to policy/tariff outcomes: repeated 'we expect', 'assumes', 'given uncertainty', 'not modeling', 'could', 'may', 'depending on', and explicit risk framing around 232/FEOC/301 and tariff timing; guidance is reaffirmed and described as 'remains unchanged' with Q2 'relatively flat' margins.","Management tone is bullish on execution (revenue, EBITDA, CuRe ramp, utilization in US) while keeping a cautious overlay on margins tied to international underutilization charges and tariff-policy uncertainty; investors should treat guidance as execution-credible but policy-sensitive.; Guidance tone is maintenance/steady: full-year 2026 guidance 'remains unchanged' and Q2 EBITDA/margins are framed as 'flat' with identifiable headwinds (Malaysia/Vietnam utilization) and conditional upside (tariff replacement scenarios), implying limited near-term optimism on margin expansion despite freight/warehouse improvements.","Overall management tone is bullish, driven by record results, margin expansion, and confident technology execution (CuRe launch completion and ramp). However, they temper optimism with frequent, targeted hedging around trade/policy outcomes (notably Section 232/FEOC/301 and tariff modeling), and they maintain guidance rather than raising it, citing near-term margin headwinds from international utilization.",0.14,Notably More Bullish,"Sentiment improved by 0.14, moving from a bullish but more cautious Q4 tone to a more upbeat Q1 tone. Q1 emphasizes record results and clearer execution milestones (e.g., CuRe launch completion and ramp), while still acknowledging policy/tariff uncertainty.",0.28,0.6,Significantly More Bullish,"Sentiment shifted materially upward from bearish (Q1 2025) to bullish (Q1 2026), driven by record results, clearer execution confidence (CuRe completion and Series 6 ramp), and reaffirmed guidance. The current quarter’s hedging is more bounded to policy/tariff uncertainty, whereas the prior quarter emphasized tariff-driven downside and guidance reduction.",-0.18
067779,Carnival Corp. Ltd.,CCL,Q1 2026,Very Bullish,0.62,"Strong positive financial/operational word choice: 'excellent start', 'ahead of guidance', 'record', 'outperform', 'robust', 'strengthened', 'solid execution', 'momentum', 'confidence', 'improving yields', 'margin expansion'.; Very strong forward-looking and target-setting language: 'By 2029, we are targeting...', 'we are introducing PROPEL', 'we are focused on the next chapter', 'we expect moderate yield growth', 'we believe this will drive significant margin expansion'.; Limited hedging/uncertainty on business fundamentals; uncertainty is mainly macro/geopolitical and fuel: 'unpredictable macroeconomic and geopolitical backdrop', 'unpredictable', 'external conditions will continue to evolve', but management repeatedly asserts confidence ('we remain well-positioned', 'give us confidence', 'grounded in... disciplined execution').","Guidance tone is net positive: Q1 results 'came in ahead of guidance' and management explicitly 'increasing our full-year outlook operationally by approximately $150 million' (i.e., raising/strengthening outlook), while the main offset is a fuel headwind embedded in assumptions.; Management’s confidence is high and execution-focused: they attribute outperformance to controllable drivers (yield expansion, cost discipline, revenue management, technology) and frame fuel/geopolitics as manageable via consumption savings and scenario-based guidance rather than a fundamental demand concern.","Management tone is very bullish, emphasizing outperformance versus guidance, record financial metrics, and sustained momentum in bookings and onboard spend. Forward-looking language is assertive and target-driven (PROPEL to 2029) with confidence grounded in execution and disciplined capacity/cost strategy, while uncertainty is largely confined to external fuel and geopolitical volatility rather than demand deterioration.",-0.1,Slightly More Bearish,"Sentiment remains Very Bullish in both quarters, but Q1 2026 is less upbeat than Q4 2025. The tone shift reflects a reduction in the intensity of upside/record language and slightly more emphasis on external uncertainty (e.g., fuel/geopolitics) despite continued confidence.",0.72,-0.1,Notably More Bearish,"Sentiment remains Very Bullish in both quarters, but the current quarter’s tone is less positive (0.62 vs 0.72). The shift likely reflects slightly more emphasis on external uncertainty (macro/geopolitics/fuel) relative to the prior year’s more uniformly confident execution language.",0.72
06C826,Darling Ingredients Inc.,DAR,Q1 2026,Very Bullish,0.62,"Strong positive financial word choice: repeated use of bullish/strength terms such as 'strong quarter', 'improved earnings power', 'stronger cash flow potential', 'margin expansion', 'momentum', 'tailwind', 'constructive', 'poised to move forward', and 'very strong' results.; Forward-looking language is confident and specific: 'we expect ... to continue to strengthen throughout the year', 'we believe ... entering its next phase with momentum', and explicit Q2 Core Ingredients EBITDA guidance set at $260M-$275M (definitive guidance rather than exploratory language).; Hedging/uncertainty is present but secondary and mostly procedural: standard forward-looking disclaimer and risk framing ('subject to risks and uncertainties', 'could materially differ'), while operational outlook uses low-hedge phrasing ('will', 'expect', 'should') and emphasizes controllables ('controlling what we could control', 'disciplined risk management').","Management’s tone and language align with an earnings-up cycle: they explicitly guide Q2 Core Ingredients EBITDA higher (range provided) and repeatedly characterize market/regulatory developments (RVO, margins turning a corner) as 'constructive' and 'tailwind'—suggesting confidence in near-term earnings delivery.; Despite volatility in feedstock/energy, they frame uncertainty as manageable via 'disciplined risk management' and conservative modeling; investors should treat guidance as supported by observable run-rate improvements (March extrapolation) rather than purely optimistic assumptions.","Management delivered a very bullish tone, emphasizing 'strong' results, 'improved' earnings power, and 'margin expansion' with multiple constructive catalysts (RVO, demand growth, operational excellence). Forward-looking statements are largely confident ('expect', 'will', 'should') and culminate in explicit Q2 guidance for Core Ingredients EBITDA, while hedging language is mostly limited to standard forward-looking disclaimers and conservative modeling around timing/lag effects.",0.34,Significantly More Bullish,"Sentiment rose materially from 0.28 to 0.62, reflecting a shift from a more cautious, policy-hedged bullish tone in Q4 2025 to a clearly stronger, confidence-forward tone in Q1 2026. The current quarter also includes more definitive near-term guidance (e.g., Q2 Core Ingredients EBITDA range) and more emphasis on margin expansion and momentum.",0.28,0.34,Significantly More Bullish,"Sentiment increased materially from 0.28 to 0.62, reflecting a shift from a bullish/normalization narrative in Q1 2025 to a more emphatic “very strong” tone in Q1 2026. The current quarter also features more confident, specific forward guidance (including explicit Q2 Core Ingredients EBITDA ranges), reinforcing the stronger bullishness.",0.28
06EF42,D.R. Horton Inc.,DHI,Q2 2026,Bullish,0.28,"Frequent positive financial/operational terms (solid results, pleased, strong operating cash flows, disciplined, attractive returns, sustainable results, value creation) outweigh negative/constraint language (impacted, cautious, volatility, headwind).; Forward-looking language is moderately strong and specific: uses definitive expectations (expect incentives to remain elevated; expect to see incremental benefits in Q3 and Q4; currently expect margins/revenues/homes closed ranges) with limited hedging beyond macro uncertainty.; Hedging/uncertainty is present but controlled: repeated conditional framing tied to external variables (dependent on demand, mortgage rates, broader market conditions; will continue to adjust; volatility and uncertainty recognized). Guidance tone is largely maintaining/steady with a cautious top-end trim (lowered closings guide by 500; reduced revenue top-end) while still reaffirming profitability and cash flow targets.","Management’s tone suggests confidence in margin resilience: they cite normalized gross margin stability (excluding one-offs) and expect additional construction cost savings into Q3/Q4, but they explicitly flag incentives as demand/rate-dependent—watch for any incentive normalization vs continued elevation.; Guidance posture is cautiously constructive: they reduced the revenue top-end due to lighter closings/ASP in H1, yet they maintained a fairly tight full-year framework (cash flow at least $3B, repurchases ~$2.5B). Investors should monitor whether the sequential SG&A leverage and incentive stability materialize as closings step up in Q3/Q4.","Overall management tone is Bullish: they emphasize solid results, disciplined execution, and attractive returns, with confident expectations for margin support from lower construction costs and improved cycle times. Uncertainty is acknowledged (affordability constraints, volatility, and incentive dependence on demand/mortgage rates), and guidance shows a cautious adjustment via a reduced revenue top-end, but not a broad deterioration in outlook.",0.1,Notably More Bullish,"Sentiment improved from 0.18 in Q1 to 0.28 in Q2 (+0.10). The tone became more constructive, emphasizing stronger operating cash flow and margin support from cost savings, while uncertainty remained present but more controlled.",0.18,0.2,Significantly More Bullish,"Q2 2026 sentiment is materially more positive than Q2 2025, with stronger confidence language around margin resilience, cost savings, and cash-flow/returns. While uncertainty remains, the current quarter’s guidance tone is more constructive and less dominated by explicit margin pressure from rising incentives.",0.08
070B45,Zebra Technologies Corp.,ZBRA,Q1 2026,Very Bullish,0.62,"Strong positive financial/operational word choice: 'great start', 'strong Q1 results', 'strong execution', 'positive demand trends', 'durability of demand', 'profitable growth', 'strong margins and cash generation', 'confidence in raising our outlook', 'line of sight to the supply we need'.; High-strength forward-looking and confidence language: 'increased outlook', 'supports our increased outlook', 'we have confidence', 'we are increasingly confident', 'we currently have line of sight', 'we believe', 'we expect', 'guidance range' with multiple explicit targets (EBITDA margin, EPS, FCF conversion).; Limited hedging relative to bullishness: memory and supply are framed with monitoring/mitigation ('area we are monitoring closely', 'subject to risks and uncertainties' boilerplate), but management repeatedly asserts mitigation success ('successfully mitigate', 'fully mitigate', 'no indication', 'line of sight', 'maintain our margin guidance').","Guidance tone is clearly upward/strengthening: management explicitly 'increased outlook for the full year' and raises/maintains profitability targets while emphasizing full mitigation of the memory headwind and ~100% FCF conversion.; Risk language is present but operationally contained: memory/supply uncertainty is acknowledged, yet responses emphasize secured visibility ('no indication' of reduced allocations, 'line of sight' to needed supply) and quantified mitigation levers (price increases, sourcing, higher-density transitions), reducing perceived downside.","Management’s tone is very bullish, combining strong positive performance descriptors with repeated, high-confidence forward-looking statements. While they acknowledge memory/supply and other macro uncertainties, they consistently frame them as actively managed and largely mitigated, and the guidance posture is an increased outlook with maintained profitability and cash flow targets.",0.2,Significantly More Bullish,"Sentiment increased materially from 0.42 to 0.62, reflecting a stronger bullish tone in Q1 2026 with more explicit confidence and an increased outlook. Risk language remains present but is framed as more fully mitigated and supported by clearer visibility into supply and cash generation.",0.42,0.34,Significantly More Bullish,"Sentiment increased materially versus Q1 2025, with Q1 2026 emphasizing a stronger execution narrative and an increased outlook supported by confidence in profitability and cash generation. The prior year’s tone was bullish but more tempered by tariff/trade uncertainty and guidance maintenance.",0.28
07B8D2,Legend Biotech Corp.,LEGN,Q1 2026,Bullish,0.42,"Strong positive financial/commercial language: 'strong momentum', 'profitable', 'profitable expansion', 'scaling efficiently', 'operating leverage', 'margin improvements', 'strong balance sheet provides flexibility', 'durable value'.; Forward-looking language is frequent and mostly confident/definitive: 'we expect', 'we remain confident', 'we anticipate', 'we plan to potentially present', 'we do expect to see sequential growth', 'we expect gross margin to be back over 50%'.; Limited hedging but present around clinical disclosure and event-driven timelines: 'cannot comment', 'as typical with our disclosure practice', 'depending on', 'we have to wait', 'event-driven', 'we remain on track'. Guidance tone is upward/maintaining: profitability trajectory maintained for 2026; gross margin expected to recover in Q2; no explicit lowering of outlook.","Management’s guidance tone is constructive: they maintain 2026 adjusted profitability expectations and explicitly expect Q2 gross margin recovery to >50%, implying confidence in manufacturing scale benefits despite Q1 margin pressure.; Clinical/in vivo messaging is optimistic but disclosure-constrained: they repeatedly frame expectations as 'manageable safety and promising efficacy' and 'deep response' while deferring specifics until abstracts/meetings—investors should treat near-term catalysts as timing-dependent (mid-year NHL data; event-driven CARTITUDE-5/6).","Overall management tone is bullish, driven by confident commercial momentum (share gains, earlier-line penetration) and profitability/margin recovery expectations. Forward-looking statements are strong and mostly definitive for financial trajectory (2026 profitability, Q2 gross margin rebound), while clinical commentary is more hedged due to standard disclosure limits and event-driven trial timing.",-0.2,Significantly More Bearish,"Sentiment cooled from a very bullish Q4 2025 (0.62) to bullish Q1 2026 (0.42), a drop of 0.20. While management remains confident on 2026 profitability and expects Q2 gross margin recovery, the tone is less emphatic and more tempered by near-term margin pressure and event/timing-dependent clinical disclosures.",0.62,0.0,Same (Bullish),"Sentiment score is unchanged at 0.42 versus Q1 2025, indicating management tone remains equally bullish year-over-year. Both quarters emphasize confident execution and profitability/margin trajectory with only procedural disclosure hedging.",0.42
07CA6A,Brunswick Corp.,BC,Q1 2026,Bullish,0.42,"Strong positive financial/operational word choice: 'excellent start', 'significantly ahead', 'increased', 'strong operating leverage', 'healthy', 'lean', 'disciplined', 'expanded', 'growth', 'improved', 'outperform', 'record', 'sustainable path', 'strong financial performance'.; Forward-looking language is confident and constructive: 'building confidence in our retail forecast', 'reinforce our long-term competitive advantage', 'supports our expectation for a flat-to-slightly up market', 'we are encouraged', 'we believe our guidance reflects confidence', 'we would expect' (multiple instances).; Hedging/uncertainty is present but bounded: 'dynamic', 'potential', 'cautiousness', 'monitoring trends', 'remain cognizant', 'difficult to determine', 'if... then' conditional framing; however guidance is largely maintained with only EPS raised, indicating controlled risk rather than deterioration.","Guidance tone is net-positive: management raised adjusted EPS guidance (to $4.00–$4.50) while stating sales/margin/free cash flow lines are materially unchanged, implying tariff normalization and Q1 overdrive are the primary upside drivers rather than demand collapse.; Uncertainty is concentrated in macro/geopolitics and tariffs (explicitly 'dynamic' and 'potential impact on the health of our consumer'), but they repeatedly anchor confidence in 'healthy and lean pipelines' and 'disciplined wholesale-to-retail alignment'—suggesting investors should watch pipeline/backlog conversion and any consumer softness outside the US/Canada.","Management tone is bullish, emphasizing outperformance ('excellent start', 'ahead of expectations'), margin/earnings leverage, and healthy/lean inventory and pipeline alignment. While they acknowledge meaningful uncertainty from geopolitical volatility and a dynamic tariff regime, the hedging is largely conditional and bounded; they maintain sales/margin guidance and raise EPS, signaling confidence in the operating plan and resilience of demand.",-0.2,Significantly More Bearish,"Sentiment cooled materially from Q4 2025 to Q1 2026 (0.62 to 0.42). While Q1 remains bullish, the tone is less emphatic and more constrained by acknowledged macro/tariff uncertainty, with fewer strongly positive, quantified confidence signals than in Q4.",0.62,0.34,Significantly More Bullish,"Q1 2026 sentiment is materially more positive than Q1 2025, with management emphasizing an 'excellent start,' stronger operating leverage, and raised EPS guidance. While tariffs/geopolitics remain a factor, the hedging is more bounded and confidence in the operating plan is higher versus the more cautious, scenario-heavy posture in Q1 2025.",0.08
