TOPIC,GROUP,TYPE,SUB_TYPE
business,analyst-ratings,analyst-ratings-set,negative
business,analyst-ratings,analyst-ratings-set,positive
business,dividends,dividend-guidance,down
business,dividends,dividend-guidance,up
business,earnings,earnings-guidance-expectations,above-expectations
business,earnings,earnings-guidance-expectations,meet-expectations
business,earnings,earnings-revision,up
business,earnings,operating-earnings,down
business,earnings,ebit-guidance-expectations,above-expectations
business,earnings,ebita-estimate,downgrade
business,earnings,ebitda-expectations,above-expectations
business,earnings,interest-income,up
business,earnings,operating-earnings,positive
business,earnings,operating-earnings,unchanged
business,earnings,operating-earnings-estimate,downgrade
business,earnings,operating-earnings-estimate,upgrade
business,earnings,operating-earnings-estimate,
business,earnings,operating-earnings-expectations,meet-expectations
business,earnings,operating-earnings-guidance-expectations,below-expectations
business,earnings,earnings-per-share-guidance-expectations,below-expectations
business,earnings,ebita-guidance,up
business,earnings,operating-earnings-guidance,unchanged
business,earnings,operating-earnings-guidance-expectations,meet-expectations
business,earnings,pretax-earnings,negative
business,labor-issues,board-member-salary,
business,labor-issues,executive-compensation,no-bonus
business,labor-issues,executive-health,
business,labor-issues,gender-pay-gap,unchanged
business,labor-issues,union-pact,rejected
business,labor-issues,workers-lockout,
business,labor-issues,workforce-diversity,increase
business,labor-issues,workforce-salary,increase
business,labor-issues,workforce-salary,
business,partnerships,joint-venture,terminated
business,partnerships,partnership,
business,products-services,accelerated-approval-designation,
business,products-services,business-contract,delayed
business,products-services,business-contract,terminated
business,products-services,ce-marking-extension-regulation,approval-granted
business,products-services,clinical-trials,filed
business,products-services,clinical-trials-patient-enrollment,suspended
business,products-services,clinical-trials-patient-enrollment-regulation,approval-denied
business,products-services,demand,meet-expectations
business,products-services,emergency-use-authorization-application,
business,products-services,endorsement,
business,products-services,fast-track-designation,
business,products-services,market-exit,
business,products-services,market-guidance,down
business,products-services,market-share,unchanged
business,products-services,market-share-guidance,gain
business,products-services,product-enhancement,delayed
business,products-services,product-fault,
business,products-services,product-obsolescence,
business,products-services,supply-chain-disruption,warning
business,products-services,supply-chain-disruption,
business,products-services,supply-chain-reorganization,
business,products-services,sustainable-packaging,
business,regulatory,regulatory-investigation,
business,revenues,revenue,above-expectations
business,revenues,revenue-estimate,
business,revenues,revenue-guidance,unchanged
business,labor-issues,job-listing,removed
business,products-services,ce-marking-application,
business,products-services,ce-marking-extension-regulation,approval-denied
business,products-services,clinical-trials-patient-enrollment-regulation,approval-granted
business,products-services,product-shortage,
business,products-services,project-regulation,scrutiny
business,products-services,supply,above-expectations
business,products-services,regulatory-product-approval,delayed
business,revenues,same-store-sales,up
business,labor-issues,executive-salary,pay-rise-rejected
business,dividends,dividend,below-expectations
business,analyst-ratings,analyst-ratings-coverage,initiated
business,dividends,dividend,unchanged
business,earnings,earnings,negative
business,earnings,earnings,positive
business,earnings,earnings-per-share,
business,earnings,earnings-per-share-guidance,
business,earnings,ebit,
business,earnings,ebit-expectations,below-expectations
business,earnings,pretax-earnings,unchanged
business,earnings,pretax-earnings-guidance-expectations,below-expectations
business,labor-issues,board-member-appointment,
business,earnings,earnings-estimate,downgrade
business,earnings,ebit,down
business,earnings,ebita,unchanged
business,earnings,ebita-guidance-expectations,above-expectations
business,earnings,ebitda-guidance-expectations,meet-expectations
business,earnings,interest-income,
business,earnings,operating-earnings,
business,earnings,pretax-earnings-estimate,upgrade
business,earnings,pretax-earnings-guidance-expectations,above-expectations
business,labor-issues,board-diversity,increase
business,earnings,ebitda,
business,labor-issues,board-member-salary,decrease
business,labor-issues,compensation-pay-gap,
business,labor-issues,executive-absence,return
business,labor-issues,executive-absence,
business,labor-issues,executive-appointment,
business,labor-issues,executive-incentives,shares-options
business,labor-issues,executive-salary,rejected
business,labor-issues,job-listing,posted
business,labor-issues,workforce-compensation,
business,labor-issues,workforce-retention,unchanged
business,labor-issues,workforce-turnover,decrease
business,labor-issues,workforce-turnover,increase
business,products-services,breakthrough-therapy-designation,
business,products-services,business-contract,terminated-interest
business,products-services,business-contract,terms-change
business,products-services,clinical-trials,complete
business,products-services,clinical-trials,suspended
business,products-services,clinical-trials-patient-enrollment,complete
business,products-services,clinical-trials-regulation,approval-granted
business,products-services,demand,increase
business,products-services,demand,unchanged
business,products-services,emergency-use-authorization-regulation,approval-denied
business,products-services,emergency-use-authorization-regulation,approval-granted
business,products-services,misleading-labeling,
business,products-services,priority-review-voucher,sale
business,products-services,product-discontinued,
business,products-services,product-recall,
business,products-services,product-review,negative
business,products-services,regulatory-product-application,
business,products-services,regulatory-product-approval,conditional
business,products-services,supply,
business,regulatory,auditor-resignation,
business,regulatory,short-selling-ban,
business,revenues,revenue,meet-expectations
business,revenues,revenue-guidance,below-expectations
business,products-services,demand,
business,products-services,expanded-access-program-application,
business,products-services,pre-market-approval-regulation,approval-denied
business,products-services,priority-review-designation,declined
business,products-services,product-release,
business,products-services,regulatory-product-review,negative
business,revenues,operating-margin,down
business,revenues,revenue,up
business,revenues,same-store-sales-guidance,unchanged
business,products-services,supply,decrease-delayed
business,analyst-ratings,analyst-ratings-change,negative
business,analyst-ratings,analyst-ratings-set,neutral
business,earnings,earnings,down
business,earnings,earnings,probe
business,earnings,earnings,
business,earnings,earnings-expectations,above-expectations
business,earnings,earnings-guidance,up
business,earnings,ebit,negative
business,earnings,ebit-guidance-expectations,below-expectations
business,earnings,ebita-expectations,meet-expectations
business,earnings,ebitda-guidance-expectations,above-expectations
business,earnings,pretax-earnings,up
business,earnings,earnings-estimate,
business,earnings,earnings-guidance-expectations,below-expectations
business,earnings,earnings-revision,down
business,earnings,ebit,positive
business,earnings,ebit-expectations,above-expectations
business,earnings,ebit-guidance,up
business,earnings,ebita,
business,earnings,ebitda-expectations,below-expectations
business,earnings,ebitda-guidance,up
business,earnings,pretax-earnings-guidance,down
business,earnings,pretax-earnings-guidance-expectations,meet-expectations
business,labor-issues,board-member-firing,
business,labor-issues,board-member-salary,rejected
business,labor-issues,executive-compensation,rejected
business,labor-issues,executive-firing,
business,labor-issues,executive-retirement,
business,labor-issues,executive-salary,decrease
business,labor-issues,executive-salary,increase
business,labor-issues,union-pact,
business,labor-issues,workers-lockout,ended
business,labor-issues,workers-strike,warning
business,labor-issues,workforce-diversity,unchanged
business,labor-issues,workforce-diversity,
business,labor-issues,workforce-retention,increase
business,products-services,breakthrough-therapy-designation,declined
business,products-services,business-contract,rumor
business,products-services,clinical-trials,negative
business,products-services,clinical-trials,
business,products-services,clinical-trials-patient-enrollment,start
business,products-services,clinical-trials-regulation,approval-denied
business,products-services,demand,decrease
business,products-services,demand-guidance,decrease
business,products-services,demand-guidance,
business,products-services,new-drug-regulation,approval-denied
business,products-services,pre-market-approval-regulation,approval-granted
business,products-services,product-review,comparison
business,products-services,supply-guidance,unchanged
business,regulatory,facility-inspection,completed
business,revenues,revenue-guidance,up
business,revenues,revenue-volume,up
business,products-services,accelerated-approval-application,
business,products-services,expanded-access-program-regulation,approval-granted
business,products-services,investigational-new-drug-regulation,approval-granted
business,products-services,orphan-drug-designation,declined
business,products-services,pre-market-approval-application,
business,products-services,product-side-effects,
business,products-services,product-support,discontinued
business,regulatory,environmental-noncompliance,
business,regulatory,labor-conditions-noncompliance,
business,regulatory,regulatory-stress-test,
business,revenues,operating-margin,up
business,products-services,supply-chain-audit,
business,earnings,ebitda-estimate,downgrade
business,earnings,ebitda-estimate,upgrade
business,analyst-ratings,analyst-ratings-history,negative
business,analyst-ratings,analyst-ratings-history,neutral
business,dividends,dividend,suspended
business,dividends,dividend,up
business,dividends,dividend-guidance,
business,earnings,earnings-per-share,positive
business,earnings,ebit-estimate,
business,earnings,ebit-guidance-expectations,meet-expectations
business,earnings,ebita-guidance,down
business,earnings,pretax-earnings-expectations,above-expectations
business,earnings,earnings-guidance,unchanged
business,earnings,ebita,up
business,earnings,ebita-guidance,unchanged
business,earnings,ebitda,positive
business,earnings,interest-income,unchanged
business,earnings,operating-earnings-guidance,down
business,earnings,operating-earnings-guidance,
business,labor-issues,board-member-absence,
business,earnings,operating-earnings,up
business,earnings,pretax-earnings-guidance,
business,labor-issues,executive-compensation,
business,labor-issues,prison-labor,
business,labor-issues,workers-lockout,warning
business,labor-issues,workers-strike,ended
business,labor-issues,workers-strike,
business,labor-issues,workforce-benefits,unchanged
business,partnerships,business-combination,
business,partnerships,joint-venture,
business,products-services,animal-testing,suspended
business,products-services,demand-guidance,increase
business,products-services,demand-guidance,unchanged
business,products-services,expanded-access-program-regulation,approval-denied
business,products-services,fast-track-application,
business,products-services,fast-track-designation,declined
business,products-services,market-entry,
business,products-services,market-share,loss
business,products-services,pre-clinical-trials,complete
business,products-services,product-catastrophe,
business,products-services,project-abandoned,
business,products-services,regulatory-product-approval,denied
business,products-services,supply,meet-expectations
business,regulatory,exchange-compliance,
business,revenues,revenue-guidance,meet-expectations
business,products-services,ce-marking-regulation,approval-granted
business,products-services,clinical-trials-regulation,approval-conditional
business,products-services,government-contract,interest
business,products-services,new-drug-application,
business,products-services,order-backlog,
business,products-services,supply-chain-undisrupted,
business,products-services,supply-guidance,
business,regulatory,regulatory-stress-test,suspended
business,revenues,revenue,down
business,revenues,same-store-sales,
business,revenues,same-store-sales-guidance,
business,dividends,dividend,
business,dividends,dividend-guidance,unchanged
business,earnings,earnings,misstatement
business,earnings,earnings-guidance,down
business,earnings,earnings-per-share-expectations,above-expectations
business,earnings,ebit-estimate,upgrade
business,earnings,ebitda,down
business,earnings,operating-earnings-expectations,below-expectations
business,earnings,ebit-guidance,
business,earnings,ebita,negative
business,earnings,ebita-expectations,below-expectations
business,earnings,ebita-guidance-expectations,meet-expectations
business,earnings,ebitda-estimate,
business,earnings,interest-income,down
business,earnings,operating-earnings,negative
business,labor-issues,board-member-death,
business,labor-issues,board-member-retirement,
business,labor-issues,board-member-salary,unchanged
business,labor-issues,executive-resignation,
business,labor-issues,furlough,
business,labor-issues,gender-pay-gap,
business,labor-issues,layoffs,
business,labor-issues,workforce-benefits,
business,labor-issues,workforce-turnover,
business,products-services,business-contract,extended
business,products-services,emergency-use-authorization-regulation,approval-revoked
business,products-services,government-contract,terminated
business,products-services,grant,
business,products-services,investigational-new-drug-application,
business,products-services,new-drug-application,delayed
business,products-services,orphan-drug-application,
business,products-services,priority-review-designation,
business,products-services,product-outage,
business,products-services,product-pricing,raise
business,products-services,product-release,delayed
business,products-services,project-application,
business,products-services,project-regulation,approval-denied
business,products-services,supply,below-expectations
business,products-services,supply,delayed
business,products-services,supply,unchanged
business,products-services,supply-guidance,decrease-delayed
business,regulatory,regulatory-stress-test,fail
business,revenues,revenue-volume,unchanged
business,revenues,same-store-sales,down
business,revenues,same-store-sales,meet-expectations
business,revenues,same-store-sales-guidance,up
business,labor-issues,workforce-retention,decrease
business,products-services,expanded-access-program,suspended
business,products-services,investigational-new-drug-regulation,approval-denied
business,products-services,market-guidance,up
business,products-services,orphan-drug-designation,
business,products-services,regulatory-product-application,withdrawn
business,revenues,same-store-sales,unchanged
business,regulatory,regulatory-investigation,completed-sanction
business,labor-issues,executive-salary,unchanged
business,earnings,earnings-expectations,below-expectations
business,earnings,earnings-guidance,suspended
business,earnings,earnings-per-share-expectations,meet-expectations
business,earnings,earnings-per-share-guidance-expectations,meet-expectations
business,earnings,ebita,positive
business,earnings,ebitda-guidance-expectations,below-expectations
business,earnings,earnings,unchanged
business,earnings,earnings-date,delayed
business,earnings,earnings-per-share,negative
business,earnings,earnings-per-share,unchanged
business,earnings,ebit,unchanged
business,earnings,ebit-expectations,meet-expectations
business,earnings,ebitda-guidance,down
business,earnings,operating-earnings-guidance-expectations,above-expectations
business,earnings,earnings-per-share,up
business,earnings,ebit,up
business,earnings,ebitda-guidance,unchanged
business,earnings,pretax-earnings,positive
business,earnings,pretax-earnings-estimate,
business,earnings,pretax-earnings-expectations,meet-expectations
business,labor-issues,board-member-absence,return
business,earnings,ebitda,negative
business,labor-issues,board-diversity,
business,labor-issues,board-member-resignation,
business,labor-issues,executive-death,
business,labor-issues,executive-search,
business,labor-issues,furlough,suspended
business,labor-issues,workforce-training-scheme,
business,products-services,accelerated-approval-designation,declined
business,products-services,award,
business,products-services,competition,
business,products-services,demand,above-expectations
business,products-services,endorsement,terminated
business,products-services,order-backlog,down
business,products-services,order-backlog,up
business,products-services,orphan-drug-designation,revoked
business,products-services,pre-clinical-trials,
business,products-services,product-pricing,cut
business,products-services,product-review,positive
business,products-services,project-regulation,approval-granted
business,products-services,supply,decrease
business,products-services,supply,increase-delayed
business,products-services,supply-guidance,decrease
business,products-services,supply-guidance,increase
business,regulatory,regulatory-filing,
business,regulatory,short-selling-ban,lifted
business,revenues,operating-margin,unchanged
business,revenues,operating-margin-guidance,
business,revenues,revenue-volume,down
business,revenues,same-store-sales-guidance,down
business,products-services,product-development,
business,products-services,project-application,withdrawn
business,products-services,supply-guidance,delayed
business,regulatory,regulatory-capital-compliance,
business,revenues,operating-margin,above-expectations
business,revenues,revenue,
business,revenues,revenue-guidance,
business,revenues,same-store-sales,above-expectations
